2026-02-01 21:37:22 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: successfully connected to MQTT broker
2026-02-01 21:37:22 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: subscription to PVROUTER001/DATA successful
2026-02-01 21:37:22 | W | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: disconnected from MQTT broker (rc=7)
2026-02-01 21:37:22 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: subscription to PVROUTER001/DATA successful
2026-02-01 21:37:22 | W | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: disconnected from MQTT broker (rc=7)
2026-02-01 21:37:23 | W | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: disconnected from MQTT broker (rc=7)
2026-02-01 21:37:23 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: successfully connected to MQTT broker
2026-02-01 21:37:23 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: successfully connected to MQTT broker
2026-02-01 21:37:23 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: subscription to PVROUTER001/DATA successful
2026-02-01 21:37:23 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: subscription to PVROUTER001/DATA successful
2026-02-01 21:37:23 | W | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: disconnected from MQTT broker (rc=7)
2026-02-01 21:37:24 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: successfully connected to MQTT broker
2026-02-01 21:37:24 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: successfully connected to MQTT broker
2026-02-01 21:37:24 | W | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: disconnected from MQTT broker (rc=7)
2026-02-01 21:37:24 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: subscription to PVROUTER001/DATA successful
2026-02-01 21:37:24 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: subscription to PVROUTER001/DATA successful
2026-02-01 21:37:24 | W | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: disconnected from MQTT broker (rc=7)
2026-02-01 21:37:25 | I | optimasol.config_loader | Configuration loaded successfully from /Users/anaselb/Dev/Projects/Optimasol-v2.0-local/config.json
2026-02-01 21:37:25 | I | optimasol.config_loader | Configuration validated and normalized
